# Tag,Name,Description
,base-devel,group of base dev packages
,yay,an AUR helper
,noto-fonts,the Noto TTF fonts
,noto-fonts-cjk,the Noto TTF fonts
,noto-fonts-emoji,the Noto TTF fonts
,noto-fonts-extra,the Noto TTF fonts
,xcape,to make caps lock rock
,xdotool,a command-line X11 automation tool
,mlocate,the locate and updatedb tools
,wmctrl,to manage windows from the command line
,wireless_tools,to manipulate the wireless networks
,rofi,an application launcher
,redshift,to red shift the display
,firefox,a web browser
,manjaro-printer,to support printing
,system-config-printer,to config the printer
,gnome-disk-utility,a disk utility
,baobab,a graphical directory tree analyzer
,git,a version control system
,vim,a text editor
,neovim,a text editor
,tmux,a terminal multiplexer
,ctags,a tag system
,gcc,a compiler
,cmake,a build generator
,doxygen,a doc generator
,gdb,a debugger
,valgrind,a memory leak finder
,cppcheck,a static code analyser
a,vera++,an analysis tool
,astyle,an indentation and reformatting filter
,cloc,a line of code counter
,jdk-openjdk,a java dev kit
a,eclipse-java,a java IDE
,texlive-most,a LaTeX system
,texlive-lang,a LaTeX extension
,texmaker,a LaTeX editor
a,jabref,a bibliography manager
,zathura,a PDF viewer
,zathura-pdf-mupdf,a zathura extension
,pdftk,a tool to work with PDF
,pdfgrep,a tool to grep into PDF
,task,a task manager
,calcurse,a calendar
,sxiv,a suckless imange viewer
a,sent,a suckless slide show
,r,the R language
a,rstudio-desktop-bin,an R IDE
,python-pip,a python package manager
#a,anaconda,a python distribution
,shellcheck,a shell script checker
,geogebra,a mathematic tool
,octave,the octave language
,ranger,a file manager
,htop,a top replacement
,curl,a tool to download webpages
,tree,a file tree generator
,pandoc,a universal markup converter
,unzip,a tool to unzip
,unrar,a tool to unrar
,flac,an audio codec for lossless compression
,youtube-dl,a tool to download video
,cmus,a music player
,keepassxc,a password manager
,newsboat,an RSS fetcher
,gimp,an image manipulation tool
,krita,an digital drawing tool
,inkscape,a vector drawing tool
,blender,a 3D modeling tool
,vlc,a universal multimedia player
,libreoffice-fresh,an office suite
a,anki-official-binary-bundle,a flash card system
a,freeplane,a mind map drawing tool
,languagetool,a proofreading tool
,grammalecte,a french proofreading tool
a,google-earth-pro,a 3D interractive Earth viewer
,wine,a compatibility layer for Windows
,winetricks,allows modification to wine
